TRANS DATE,POSTING DATE,DESCRIPTION,AMOUNT ($)
Jun. 12,Jun. 13,AMZN Mktp CA WWW.AMAZON.CAON,32.93
Jun. 11,Jun. 13,MCDONALD'S WATERLOO ON,1.58
Jun. 14,Jun. 17,Amazon.ca AMAZON.CA ON,11.3
Jun. 14,Jun. 17,TIM HORTONS WATERLOO ON,4.68
Jun. 15,Jun. 17,McDonalds WATERLOO ON,1.05
Jun. 13,Jun. 17,ESSO CIRCLE K WATERLOO ON,59.4
Jun. 13,Jun. 17,MCDONALD'S WATERLOO ON,1.58
Jun. 15,Jun. 17,McDonalds WATERLOO ON,1.05
Jun. 15,Jun. 17,DOMINOS PIZZA WATERLOO ON,22.04
Jun. 16,Jun. 17,McDonalds WATERLOO ON,1.05
Jun. 16,Jun. 17,TIM HORTONS WATERLOO ON,2.17
Jun. 16,Jun. 18,TIM HORTONS ST JACOBS ON,7.89
Jun. 16,Jun. 18,MCDONALD'S WATERLOO ON,1.58
Jun. 19,Jun. 20,McDonalds WATERLOO ON,1.05
Jun. 19,Jun. 20,POPEYES WATERLOO ON,10.72
Jun. 19,Jun. 21,MCDONALD'S WATERLOO ON,1.58
Jun. 21,Jun. 24,TIM HORTONS WATERLOO ON,3.98
Jun. 20,Jun. 24,MCDONALD'S WATERLOO ON,1.58
Jun. 22,Jun. 24,TIM HORTONS WATERLOO ON,3.98
Jun. 21,Jun. 24,MCDONALD'S WATERLOO ON,1.58
Jun. 23,Jun. 24,McDonalds WATERLOO ON,1.05
Jun. 23,Jun. 25,ESSO CIRCLE K WATERLOO ON,61.93
Jun. 25,Jun. 25,HOPPER QC,537.26
Jun. 25,Jun. 26,McDonalds WATERLOO ON,1.13
Jun. 26,Jun. 27,McDonalds WATERLOO ON,6.55
Jun. 26,Jun. 27,MCDONALD'S WATERLOO ON,5.41
Jun. 25,Jun. 27,TIM HORTONS WATERLOO ON,4.74
Jun. 26,Jun. 27,SHOPPERS DRUG MART WATERLOO ON,20.89
Jun. 27,Jun. 28,UW PARKING WATERLOO ON,45.2
Jun. 29,Jul. 1,McDonalds WATERLOO ON,2.1
Jun. 28,Jul. 1,CANADIAN TIRE LISTOWELL ON,45.19
Jun. 28,Jul. 1,ESSO CIRCLE K WATERLOO ON,15.04
Jun. 28,Jul. 1,MCDONALD'S WATERLOO ON,1.58
Jun. 29,Jul. 2,SOBEYS WATERLOO ON,31.91
Jul. 1,Jul. 2,McDonalds WATERLOO ON,5.65
Jun. 30,Jul. 2,CANADIAN TIRE WATERLOO ON,6.77
Jul. 2,Jul. 2,McDonalds WATERLOO ON,1.13
Jul. 2,Jul. 3,AMZN Mktp CA WWW.AMAZON.CAON,30.49
Jul. 2,Jul. 3,McDonalds WATERLOO ON,1.05
Jul. 2,Jul. 3,TIM HORTONS WATERLOO ON,2.17
Jul. 2,Jul. 3,DOLLARAMA WATERLOO ON,4.27
Jun. 30,Jul. 3,ESSO CIRCLE K KITCHENER ON,66.52
Jul. 2,Jul. 3,ZIGGY'S CYCLE KITCHENER ON,7.33
Jul. 2,Jul. 4,TIM HORTONS WATERLOO ON,4.74
Jul. 2,Jul. 4,MCDONALD'S WATERLOO ON,3.75
Jul. 2,Jul. 4,MCDONALD'S WATERLOO ON,1.41
Jul. 3,Jul. 4,ZIGGY'S CYCLE KITCHENER ON,7.33
Jul. 3,Jul. 5,MCDONALD'S WATERLOO ON,1.58
Jul. 5,Jul. 8,McDonalds WATERLOO ON,1.13
Jul. 5,Jul. 8,ZIGGY'S CYCLE KITCHENER ON,14.68
Jul. 6,Jul. 8,McDonalds WATERLOO ON,1.05
Jul. 7,Jul. 8,McDonalds WATERLOO ON,1.13
Jul. 6,Jul. 8,DOMINOS PIZZA WATERLOO ON,12.43
Jul. 7,Jul. 8,McDonalds WATERLOO ON,2.1
Jul. 7,Jul. 8,McDonalds WATERLOO ON,1.13
Jul. 8,Jul. 8,McDonalds WATERLOO ON,3.15
Jul. 6,Jul. 8,THE HOME DEPOT WATERLOO ON,9.47
Jul. 7,Jul. 8,PETRO CANADA WATERLOO ON,10
Jul. 8,Jul. 9,McDonalds WATERLOO ON,1.05
Jul. 7,Jul. 10,SOBEYS WATERLOO ON,19.47
Jul. 9,Jul. 10,TIM HORTONS WATERLOO ON,3.77
Jul. 9,Jul. 10,TIM HORTONS KITCHENER ON,3.45
Jul. 10,Jul. 10,McDonalds WATERLOO ON,1.13
Jul. 11,Jul. 11,AMZN Mktp CA WWW.AMAZON.CAON,30.45
Jul. 10,Jul. 12,TIM HORTONS KITCHENER ON,7.44
Jul. 11,Jul. 12,McDonalds WATERLOO ON,1.05
Jul. 12,Jul. 12,McDonalds WATERLOO ON,1.05
Jul. 11,Jul. 12,Amazon.ca Prime Member amazon.ca/priBC,11.29
Jul. 12,Jul. 12,AMAZON DOWNTOWN TOROON,2.23